ID;Name;Year;Authors;Tittle;Abstract;Country of affiliation;Journal;Open Access
ID011;Andrew and Shepard 2017;2017;"Andrew, ME; Shephard, JM";Semi-automated detection of eagle nests: an application of very high-resolution image data and advanced image analyses to wildlife surveys;Very high-resolution (VHR) image data, including from unmanned aerial vehicle (UAV) platforms, are increasingly acquired for wildlife surveys. Animals or structures they build (e.g. nests) can be photointerpreted from these images, however, automated detection is required for more efficient surveys. We developed semi-automated analyses to map white-bellied sea eagle (Haliaeetus leucogaster) nests in VHR aerial photographs of the Houtman Abrolhos Islands, Western Australia, an important breeding site for many seabird species. Nest detection is complicated by high environmental heterogeneity at the scale of nests (similar to 1-2 m), the presence of many features that resemble nests and the variability of nest size, shape and context. Finally, the rarity of nests limits the availability of training data. These challenges are not unique to wildlife surveys and we show how they can be overcome by an innovative integration of object-based image analyses (OBIA) and the powerful machine learning one-class classifier Maxent. Maxent classifications using features characterizing object texture, geometry and neighborhood, along with limited object color information, successfully identified over 90% of high quality nests (most weathered and unusually shaped nests were also detected, but at a slightly lower rate) and labeled <2% of objects as candidate nests. Although this overestimates the occurrence of nests, the results can be visually screened to rule out all but the most likely nests in a process that is simpler and more efficient than manual photointerpretation of the full image. Our study shows that semi-automated image analyses for wildlife surveys are achievable. Furthermore, the developed strategies have broad relevance to image processing applications that seek to detect rare features differing only subtly from a heterogeneous background, including remote sensing of archeological remains. We also highlight solutions to maximize the use of imperfect or uncalibrated image data, such as some UAV-based imagery and the growing body of VHR imagery available in Google Earth and other virtual globes.;AUS;Remote Sensing in Ecology and Conservation;Yes
ID012;Drap et al. 2017;2017;"Drap, P; Papini, O; Pruno, E; Nucciotti, M; Vannini, G";Ontology-Based Photogrammetry Survey for Medieval Archaeology: Toward a 3D Geographic Information System (GIS);"This paper presents certain reflections concerning an interdisciplinary project between medieval archaeologists from the University of Florence (Italy) and computer science researchers from CNRS, National Center for Scientific Research, (France), aiming towards a connection between 3D spatial representation and archaeological knowledge. We try to develop an integrated system for archaeological 3D survey and all other types of archaeological data and knowledge by incorporating observable (material) and non-graphic (interpretive) data. Survey plays a central role, since it is both a metric representation of the archaeological site and, to a wider extent, an interpretation of it (being also a common basis for communication between the two teams). More specifically, 3D survey is crucial, allowing archaeologists to connect actual spatial assets to the stratigraphic formation processes (i.e., to the archaeological time) and to translate spatial observations into historical interpretation of the site. It is well known that laser scanner, photogrammetry and computer vision are very useful tools for archaeologists, although the integration of the representation of space, as well as archaeological time has not yet found a methodological standard of reference. We propose a common formalism for describing photogrammetric survey and archaeological knowledge stemming from ontologies: indeed, ontologies are fully used to model and store 3D data and archaeological knowledge. We equip this formalism with a qualitative representation of time, starting from archaeological stratigraphy. Stratigraphic analyses (both of excavated deposits and of upstanding structures) are closely related to Edward Cecil Harris's theory of the \Unit of Stratigraphication\\ (referred to as \\""US\\"", while a stratigraphic unit of an upstanding structure Unita Stratigrafica Murale, in Italian, will be referred to as \\""USM\\""). Every US is connected to the others by geometric, topological and, eventually, temporal links, and these are recorded by the 3D photogrammetric survey. However, the limitations of the Harris matrix approach led us to use another formalism for representing stratigraphic relationships, namely Qualitative Constraints Networks (QCN), which was successfully used in the domain of knowledge representation and reasoning in artificial intelligence for representing temporal relations.\""""";FRA;Geosciences;Yes
ID013;Menze et al. 2006;2006;"Menze, B.H.; Ur, J.A.; Sherratt, A.G.";Detection of Ancient Settlement Mounds;In the present study we demonstrate the value of the SRTM three arcsecond terrain model for a virtual survey of archae-ological sites: the detection and mapping of ancient settle-ment mounds in the Near East. These so-called â€œtellsâ€ are the result of millennia of occupation within the period from 8000â€“1000 BC, and form visible landmarks of the worldâ€™s first farming and urban communities. The SRTM model provides for the first time an opportunity to scan areas not yet surveyed archaeologically on a supra-regional scale and to pinpoint probable tell sites. In order to map these historic monuments for the purpose of settlement-study and conser-vation, we develop a machine learning classifier which identifies probable tell sites from the terrain model. In a test, point-like elevations of a characteristic tell shape, standing out for more than 5 to 6 m in the DEM were successfully detected (85/133 tells). False positives (327/(600*1200) pixels) were primarily due to natural elevations, resembling tells in height and size.;USA;Photogrammetric Engineering & Remote Sensing;Yes
ID014;Lowe et al. 2017;2017;"Lowe, DJ; Pearce, NJG; Jorgensen, MA; Kuehn, SC; Tryon, CA; Hayward, CL";Correlating tephras and cryptotephras using glass compositional analyses and numerical and statistical methods: Review and evaluation;We define tephras and cryptotephras and their components (mainly ash-sized particles of glass crystals in distal deposits) and summarize the basis of tephrochronology as a chronostratigraphic correlational and dating tool for palaeoenvironmental, geological, and archaeological research. We then document and appraise recent advances in analytical methods used to determine the major, minor, and trace elements of individual glass shards from tephra or cryptotephra deposits to aid their correlation and application. Protocols developed recently for the electron probe microanalysis of major elements in individual glass shards help to improve data quality and standardize reporting procedures. A narrow electron beam (diameter similar to 3-5 gm) can now be used to analyze smaller glass shards than previously attainable. Reliable analyses of 'microshards' (defined here as glass shards < 32 gm in diameter) using narrow beams are useful for fine-grained samples from distal or ultra-distal geographic locations, and for vesicular or microlite-rich glass shards or small melt inclusions. Caveats apply, however, in the microprobe analysis of very small microshards (<=similar to 5 gm in diameter), where particle geometry becomes important, and of microlite-rich glass shards where the potential problem of secondary fluorescence across phase boundaries needs to be recognised. Trace element analyses of individual glass shards using laser ablation inductively coupled plasma-mass spectrometry (LA-ICP-MS), with crater diameters of 20 mu m and 10 mu m, are now effectively routine, giving detection limits well below 1 ppm. Smaller ablation craters (< 10 mu m) can be subject to significant element fractionation during analysis, but the systematic relationship of such fractionation with glass composition suggests that analyses for some elements at these resolutions may be quantifiable. In undertaking analyses, either by microprobe or LA-ICP-MS, reference material data acquired using the same procedure, and preferably from the same analytical session, should be presented alongside new analytical data. In part 2 of the review, we describe, critically assess, and recommend ways in which tephras or cryptotephras can be correlated (in conjunction with other information) using numerical or statistical analyses of compositional data. Statistical methods provide a less subjective means of dealing with analytical data pertaining to tephra components (usually glass or crystalsiphenocrysts) than heuristic alternatives. They enable a better understanding of relationships among the data from multiple viewpoints to be developed and help quantify the degree of uncertainty in establishing correlations. In common with other scientific hypothesis testing, it is easier to infer using such analysis that two or more tephras are different rather than the same. Adding stratigraphic, chronological, spatial, or palaeoenvironmental data (i.e. multiple criteria) is usually necessary and allows for more robust correlations to be made. A two-stage approach is useful, the first focussed on differences in the mean composition of samples, or their range, which can be visualised graphically via scatterplot matrices or bivariate plots coupled with the use of statistical tools such as distance measures, similarity coefficients, hierarchical cluster analysis (informed by distance measures or similarity or cophenetic coefficients), and principal components analysis (PCA). Some statistical methods (cluster analysis, discriminant analysis) are referred to as 'machine learning' in the computing literature. The second stage examines sample variance and the degree of compositional similarity so that sample equivalence or otherwise can be established on a statistical basis. This stage may involve discriminant function analysis (DFA), support vector machines (SVMs), canonical variates analysis (CVA), and ANOVA or MANOVA (or its two-sample special case, the Hotelling two-sample T-2 test). Randomization tests can be used where distributional assumptions such as multivariate normality underlying parametric tests are doubtful. Compositional data may be transformed and scaled before being subjected to multivariate statistical procedures including calculation of distance matrices, hierarchical cluster analysis, and PCA. Such transformations may make the assumption of multivariate normality more appropriate. A sequential procedure using Mahalanobis distance and the Hotelling two-sample T-2 test is illustrated using glass major element data from trachytic to phonolitic Kenyan tephras. All these methods require a broad range of high-quality compositional data which can be used to compare 'unknowns' with reference (training) sets that are sufficiently complete to account for all possible correlatives, including tephras with heterogeneous glasses that contain multiple compositional groups. Currently, incomplete databases are tending to limit correlation efficacy. The development of an open, online global database to facilitate progress towards integrated, high-quality tephrostratigraphic frameworks for different regions is encouraged. (C) 2017 Elsevier Ltd. All rights reserved.;NZL;Quaternary Science Reviews;No
ID015;Zhang et al. 2017;2017;"Zhang, J; Yang, HJ; Song, HB; Zhang, Y";An Improved Archaeology Algorithm Based on Integrated Multi-Source Biological Information for Yeast Protein Interaction Network;"With the development of high -throughput interaction detection techniques such as tandem affinity purification (TAP) and yeast two-hybrid (Y2H), the available genome-wide protein protein interactions (PPIs) data have been increasing in recent years. Using mathematical, physical, and artificial intelligence methods, some researchers in computational biology focused on uncovering the evolutionary ages of proteins according to present PPI networks (PINs), but improving their accuracy was challenging. A plausible explanation is that they solved biological problems with non-biological techniques and did not provide much attention to biological backgrounds and meanings of proteins or their relationships. In this paper, we propose two ways to improve the accuracy of age predicting and skillfully \embedding\\ multi source biological information in each iteration of an archaeology algorithm for yeast PIN. On the one hand, we reduce the probability of reversing errors by decreasing the non-duplication protein pairs, which are obtained from 460 gene trees constructed by means of a multiple sequence alignment and the neighbor joining algorithm. On the other hand, the reliable crossover standard from different biological information sources can decrease local random errors of alternative treatment. The application of the novel algorithm to simulation data and real yeast PINs shows a marked improvement in accuracy. Our research strongly suggests that putting non-biological methods into the \\""biological context\\"" will bear more favorable results.\""""";CHN;IEEE Access;Yes
ID016;Carranza 2018;2018;Carranza, E;The study of lithic assemblages on deflation surfaces: The case study of Arroyo Verde, Northern Patagonia coast, Argentina;This paper focuses on surface lithic artefacts from Holocene coastal hunter gatherer occupations of Arroyo Verde archaeological locality (Rio Negro province, Northern Patagonia, Argentina). The study of lithic assemblages collected at a deflation surface surrounded by stabilised sand dunes near the coastline, shows that wind produce significant corrasion (wind abrasion) of artefacts and affects preservation of small and medium size artefacts. The sample is mainly composed of chert knapping debitage with abraded and polished edges and surfaces. The artefact size distribution suggests that a subset of the assemblage exhibits good preservation, possibly due to the recent subaerial exposure. Furthermore, carbonate and mould coatings were recorded over the artefacts surface in contact with the ground, which indicates the presence of humid conditions in the sand dunes deflation area. In order to explore the factors that affected assemblage stability conditions in the locus, a machine learning based decision tree was applied. The model predicts and defines a threshold at which the occurrence of instability conditions may appear. Also, it suggests that relative altitude of artefacts within the deflation hollow is the primary variable explaining the exposure conditions recorded in the artefacts and it points out processes of differential deflation over time. The data presented here illustrates how wind alters local surface materials and emphasizes that a taphonomic perspective is needed to assess the formation processes within northern Patagonia coastal archaeological assemblages.;ARG;Journal of Lithic Studies;Yes
ID017;Gu and Buckley 2018;2018;"Gu, MX; Buckley, M";Semi-supervised machine learning for automated species identification by collagen peptide mass fingerprinting;Background: Biomolecular methods for species identification are increasingly being utilised in the study of changing environments, both at the microscopic and macroscopic levels. High-throughput peptide mass fingerprinting has been largely applied to bacterial identification, but increasingly used to identify archaeological and palaeontological skeletal material to yield information on past environments and human-animal interaction. However, as applications move away from predominantly domesticate and the more abundant wild fauna to a much wider range of less common taxa that do not yet have genetically-derived sequence information, robust methods of species identification and biomarker selection need to be determined. Results: Here we developed a supervised machine learning algorithm for classifying the species of ancient remains based on collagen fingerprinting. The aim was to minimise requirements on prior knowledge of known species while yielding satisfactory sensitivity and specificity. The algorithm uses iterations of a modified random forest classifier with a similarity scoring system to expand its identified samples. We tested it on a set of 6805 spectra and found that a high level of accuracy can be achieved with a training set of five identified specimens per taxon. Conclusions: This method consistently achieves higher accuracy than two-dimensional principal component analysis and similar accuracy with hierarchical clustering using optimised parameters, which greatly reduces requirements for human input. Within the vertebrata, we demonstrate that this method was able to achieve the taxonomic resolution of family or sub-family level whereas the genus- or species-level identification may require manual interpretation or further experiments. In addition, it also identifies additional species biomarkers than those previously published.;GBR;BMC Bioinformatics;Yes
ID018;Guyot et al. 2018;2018;"Guyot, Alexandre; Hubert-Moy, Laurence; Lorho, Thierry";Detecting Neolithic Burial Mounds from LiDAR-Derived Elevation Data Using a Multi-Scale Approach and Machine Learning Techniques;Airborne LiDAR technology is widely used in archaeology and over the past decade has emerged as an accurate tool to describe anthropomorphic landforms. Archaeological features are traditionally emphasised on a LiDAR-derived Digital Terrain Model (DTM) using multiple Visualisation Techniques (VTs), and occasionally aided by automated feature detection or classification techniques. Such an approach offers limited results when applied to heterogeneous structures (different sizes, morphologies), which is often the case for archaeological remains that have been altered throughout the ages. This study proposes to overcome these limitations by developing a multi-scale analysis of topographic position combined with supervised machine learning algorithms (Random Forest). Rather than highlighting individual topographic anomalies, the multi-scalar approach allows archaeological features to be examined not only as individual objects, but within their broader spatial context. This innovative and straightforward method provides two levels of results: a composite image of topographic surface structure and a probability map of the presence of archaeological structures. The method was developed to detect and characterise megalithic funeral structures in the region of Carnac, the Bay of Quiberon, and the Gulf of Morbihan (France), which is currently considered for inclusion on the UNESCO World Heritage List. As a result, known archaeological sites have successfully been geo-referenced with a greater accuracy than before (even when located under dense vegetation) and a ground-check confirmed the identification of a previously unknown Neolithic burial mound in the commune of Carnac.;FRA;Remote Sensing;Yes
ID019;Jensen et al. 2018;2018;Jensen, Peter;Semantically Enhanced 3D: A Web-based Platform for Spatial Integration of Excavation Documentation at Alken Enge, Denmark;The photorealistic and geometrically accurate 3-dimensional representation of excavations, provided by image-based modeling, has the potential to transform the process of excavation documentation, making it easier to share observations with other researchers. Paradoxically, however, spatial representation lacks the ability to convey archaeological interpretations. By example of excavations in Alken Enge, Denmark, this paper explores how a web-based 3D platform is able to facilitate the collaborative exchange of 3D excavation content and how the integration of spatial and attribute data into one common event-based data model may be advantageous. This includes enhancing the semantic value of field-recorded 3D models by segmenting the geometry using various techniques, such as 3D projections and machine learning. Accordingly, the paper demonstrates a framework for interactive 3D models, which includes attributed classification based on segmented 3D content correlated with traditional raster, vector, and textual data, delivering a spatially integrated platform for collaborative research.;DNK;Journal of Field Archaeology;Yes
ID020;Klassen et al. 2018;2018;"Klassen, Sarah; Weed, Jonathan; Evans, Damian";Semi-supervised machine learning approaches for predicting the chronology of archaeological sites: A case study of temples from medieval Angkor, Cambodia;Semi-supervised machine learning approaches for predicting the chronology of archaeological sites: A case study of temples from medieval Angkor, Cambodia;USA;PloS One;Yes
ID021;Agrafiotis et al.  2019;2019;"Agrafiotis, P; Skarlatos, D; Georgopoulos, A; Karantzalos, K";DepthLearn: Learning to Correct the Refraction on Point Clouds Derived from Aerial Imagery for Accurate Dense Shallow Water Bathymetry Based on SVMs-Fusion with LiDAR Point Clouds;"The determination of accurate bathymetric information is a key element for near offshore activities; hydrological studies, such as coastal engineering applications, sedimentary processes, hydrographic surveying, archaeological mapping and biological research. Through structure from motion (SfM) and multi-view-stereo (MVS) techniques, aerial imagery can provide a low-cost alternative compared to bathymetric LiDAR (Light Detection and Ranging) surveys, as it offers additional important visual information and higher spatial resolution. Nevertheless, water refraction poses significant challenges on depth determination. Till now, this problem has been addressed through customized image-based refraction correction algorithms or by modifying the collinearity equation. In this article, in order to overcome the water refraction errors in a massive and accurate way, we employ machine learning tools, which are able to learn the systematic underestimation of the estimated depths. In particular, an SVR (support vector regression) model was developed, based on known depth observations from bathymetric LiDAR surveys, which is able to accurately recover bathymetry from point clouds derived from SfM-MVS procedures. Experimental results and validation were based on datasets derived from different test-sites, and demonstrated the high potential of our approach. Moreover, we exploited the fusion of LiDAR and image-based point clouds towards addressing challenges of both modalities in problematic areas.";GRC;Remote Sensing;No
ID022;Aramendi et al. 2019;2019;"Aramendi, J; Arriaza, MC; Yravedra, J; Mate-Gonzalez, MA; Ortega, MC; Courtenay, LA; Gonzalez-Aguilera, D; Gidna, A; Mabulla, A; Baquedano, E;Domínguez-Rodrigo, M";Who ate OH80 (Olduvai Gorge, Tanzania)? A geometric-morphometric analysis of surface bone modifications of a Paranthropus boisei skeleton;Olduvai Gorge (Tanzania) is one of the key areas for the study of human origins, given the sheer abundance of archaeological and paleontological sites discovered. Several of these archaeological sites have yielded numerous hominin fossils and traces of their activities, thus offering invaluable insights into the nature and origins of human behavior. Nevertheless, certain taphonomic discussions that have been of great importance for the study of the South African cave sites have remained unnoticed in East Africa. One of these issues revolves around the interpretation of Paranthropus as a common prey of predators. In this paper, we analyze the postcranial remains of OH80, a partial skeleton of a Paranthropus boisei discovered at the BK site (Bell Korongo, Bed II of Olduvai Gorge, Tanzania) in 2010. Some of the specimens of this skeleton have been reported to show surface modifications tentatively associated to the action of carnivores. Here, several pits observed on OH80-12, the Paranthropus boisei femur, were digitally reconstructed and analyzed through geometric morphometrics to determine the nature of the marks. The OH80-12 marks are compared with a modern sample of percussion marks and several carnivore tooth pits, since the action of both agents has previously been identified at the site and can sometimes result in equifinality problems. Alongside already published geometric morphometric tests, here we present a very newly developed approach based on the combination of geometric morphometric data and the training of machine learning algorithms. Both methodologies highlight that OH80 was consumed by carnivores, being a felid the most likely modifying agent.;ESP;Quaternary International;Yes
ID023;Benner et al. 2019;2019;"Benner, Jordan; Knudby, Anders; Nielsen, Julie; Krawchuk, Meg; Lertzman, Ken";Combining data from field surveys and archaeological records to predict the distribution of culturally important trees;Aim Indigenous communities involved in conservation planning require spatial datasets depicting the distribution of culturally important species. However, accessing datasets on the location of these species can be challenging, particularly when the current distribution no longer reflects areas with the full range of suitable growing conditions because of past logging. We test whether using occurrence data from community-based field surveys and archaeological records in species distribution models can help predict the distribution of monumental western redcedar trees (Thuja plicata)-large, high-quality trees suitable for cultural purposes such as carving dug-out canoes, totem poles and traditional houses. This species is critically important to indigenous people of the Pacific Northwest of North America, but trees suitable for traditional carving and building are diminishing in abundance due to logging. Location Our analysis covers the spatial extent of the traditional territory of the Heiltsuk First Nation, which encompasses a portion of the Great Bear Rainforest in British Columbia, Canada. Methods We built and compared species distribution models using the machine learning program, Maxent, based on occurrence data from field surveys and archaeological records of culturally modified trees. Results Our findings highlight similarities and differences between the predictions from these species distribution models. When validating these models against occurrences from an independent dataset, the archaeological record model performs better than the field survey model. These findings may arise because the independent dataset was collected on an unlogged island-an environment that aligns more closely with the historic forest conditions revealed by the archaeological records than the current distribution revealed by the field surveys. Main conclusions We demonstrate and discuss the utility of using archaeological data in species distribution modelling and conservation planning when the target species is associated with shifting environmental baselines, data limitations and an important cultural resource.;CAN;Diversity and Distributions;No
ID024;Byeon et al. 2019;2019;"Byeon, W;Domínguez-Rodrigo, M; Arampatzis, G; Baquedano, E; Yravedra, J; Mate-Gonzalez, MA; Koumoutsakos, P";Automated identification and deep classification of cut marks on bones and its paleoanthropological implications;The identification of cut marks and other bone surface modifications (BSM) provides evidence for the emergence of meat-eating in human evolution. This most crucial part of taphonomic analysis of the archaeological human record has been controversial due to highly subjective interpretations of BSM. Here, we use a sample of 79 trampling and cut marks to compare the accuracy in mark identification on bones by human experts and computer trained algorithms. We demonstrate that deep convolutional neural networks (DCNN) and support vector machines (SVM) can recognize marks with accuracy that far exceeds that of human experts. Automated recognition and analysis of BSM using DCNN can achieve an accuracy of 91% of correct identification of cut and trampling marks versus a much lower accuracy rate (63%) obtained by trained human experts. This success underscores the capability of machine learning algorithms to help resolve controversies in taphonomic research and, more specifically, in the study of bone surface modifications. We envision that the proposed methods can help resolve on-going controversies on the earliest human meat-eating behaviors in Africa and other issues such as the earliest occupation of America. (C) 2019 Elsevier B.V. All rights reserved.;CHE;Journal of Computational Science;Yes
