Key;Item.Type;Publication.Year;Author;Title;Publication.Title;Abstract.Note;File.Attachments
ZEFWTF3V;conferencePaper;2016;"Albertini, Niccolo; Brogni, Andrea; Caramiaux, Baptiste; Gillies, Marco; Olivito, Riccardo; Taccola, Emanuele";Natural gesture interaction in archaeological virtual environments: work in progress;Proceedings of the 8th International Congress on Archaeology, Computer Graphics, Cultural Heritage and Innovation ( Arqueologica 2.0): Advanced 3d Documentation, Modelling and Reconstruction of Cultural Heritage Objects, Monuments and Sites;Archaeological data are heterogeneous (i.e., data-sheets and pictures, stratigraphic data, 3D models), and innovative virtual reconstractuions helps to visualize and study those data. In this short paper, we describe our work in progress in the design of an innovative way to interact with the complexity of a virtual reconstruction, using natural gestures and advanced machine learning, in close collaboration with archeaeologists.;Albertini_2016.txt
ISK8QGIP;conferencePaper;2017;"Di Ruocco, Giacomo; Sicignano, Enrico; Galizia, Italo";Strategy of sustainable development of an industrial archaeology;International High-Performance Built Environment Conference - a Sustainable Built Environment Conference 2016 Series (sbe16), Ihbe 2016;"\Re-learn\"" and \""Re-value\"" are the keywords at the base of the sustainable exploitation strategy of cultural heritage, little known but highly cultural and environmental valid, belonging to Southern Italy, already colony of Magna Graecia. The main goals are to \""spread\"" the knowledge of the territory, \""enhance\"" the sense of belonging to a new physical and cultural reality, \""develop\"" the perception of a new metropolitan reality and \""promote\"" the enjoyment of the environment, aiming at a careful and conscious cultural tourism. Within the tourism network, our idea tends to include particularly significant and representative sites of Campania's history and culture, little known ones such as Campi Flegrei, Sorrento and Amalfi Coasts, Liternum, Nola, Cimitile, Amalfi, Agerola, Gragnano, etc. The present case study concerns, in particular, the Valle dei Mulini (\""Mills valley\"") in Gragnano, which is an example of proto-industrial archaeology dating back to the twelfth century as well as an old dirt road connecting with Amalfi republic. This site is featured by canals carved into the rocks, which lead water directly to the mills towers, capable of converting the pressure of the hydraulic machine movement into useful energy. More in detail, the sustainable aspect of this project foresees the production of electricity by exploiting the mechanism of the falling water in water towers, giving rise to the grindstone rotational motion which is turned into electrical energy. The water flow passes from one tower to another one, placed at a lower altitude, and then moves on to the next one. Therefore this strategy would enhance the whole ecosystem, by means of site remediation and artifacts restoration, in order to place this resort in the tourism / hospitality circuit and trigger a sustainable process aimed at its future safeguarding. (C) 2017 Published by Elsevier Ltd.""";Di Ruocco et al. - 2017 - Strategy of sustainable development of an industri.txt
5JJ8JSAE;journalArticle;2017;"Albertini, Niccolo; Brogni, Andrea; Olivito, Riccardo; Taccola, Emanuele; Caramiaux, Baptiste; Gillies, Marco";Designing natural gesture interaction for archaeological data in immersive environments;Virtual Archaeology Review;Archaeological data are heterogeneous, making it difficult to correlate and combine different types. Datasheets and pictures, stratigraphic data and 3D models, time and space mixed together: these are only a few of the categories a researcher has to deal with. New technologies may be able to help in this process and trying to solve research related problems needs innovative solutions. In this paper, we describe the whole process for the design and development of a prototype application that uses an Immersive Virtual Reality system to acces archaeological excavation 3D data through the Gesture Variation Follower (GVF) algorithm. This makes it possible to recognise which gesture is being performed and how it is performed. Archaeologists have participated actively in the design of the interface and the set of gestures used for triggering the different tasks. Interactive machine learning techniques have been used for the real time detection of the gestures. As a case study the agora of Segesta (Sicily, Italy) has been selected. Indeed, due to the complex architectural features and the still ongoing fieldwork activities, Segesta represents an ideal context where to test and develop a research approach integrating both traditional and more innovative tools and methods.;Albertini et al. - 2017 - DESIGNING NATURAL GESTURE INTERACTION FOR ARCHAEOL.txt
PNBLDN2E;magazineArticle;2017;Felicetti, Achille;Teaching Archaeology to Machines: Extracting Semantic Knowledge from Free Text Excavation Reports;Ercim News;Natural language processing and machine learning technologies have acquired considerable importance, especially in disciplines where the main information is contained in free text documents rather than in relational databases. TEXTCROWD is an advanced cloud based tool developed within the framework of EOSCpilot project for processing textual archaeological reports. The tool has been boosted and made capable of browsing big online knowledge repositories, educating itself on demand and used for producing semantic metadata ready to be integrated with information coming from different domains, to establish an advanced machine learning scenario.;Felicetti_2017.txt
DAGPRZJN;journalArticle;2018;Jensen, Peter;Semantically Enhanced 3D: A Web-based Platform for Spatial Integration of Excavation Documentation at Alken Enge, Denmark;Journal of Field Archaeology;The photorealistic and geometrically accurate 3-dimensional representation of excavations, provided by image-based modeling, has the potential to transform the process of excavation documentation, making it easier to share observations with other researchers. Paradoxically, however, spatial representation lacks the ability to convey archaeological interpretations. By example of excavations in Alken Enge, Denmark, this paper explores how a web-based 3D platform is able to facilitate the collaborative exchange of 3D excavation content and how the integration of spatial and attribute data into one common event-based data model may be advantageous. This includes enhancing the semantic value of field-recorded 3D models by segmenting the geometry using various techniques, such as 3D projections and machine learning. Accordingly, the paper demonstrates a framework for interactive 3D models, which includes attributed classification based on segmented 3D content correlated with traditional raster, vector, and textual data, delivering a spatially integrated platform for collaborative research.;Jensen - 2018 - Semantically Enhanced 3D A Web-based Platform for.txt
SQZGDX9Z;journalArticle;2018;"Sizikova, Elena; Funkhouser, Thomas";Wall Painting Reconstruction Using a Genetic Algorithm;Acm Journal on Computing and Cultural Heritage;"Global reconstruction of two-dimensional wall paintings (frescoes) from fragments is an important problem for many archaeological sites. The goal is to find the global position and rotation for each fragment so that all fragments jointly \reconstruct\"" the original surface (i.e., solve the puzzle). Manual fragment placement is difficult and time-consuming, especially when fragments are irregularly shaped and uncolored. Systems have been proposed to first acquire 3D surface scans of the fragments and then use computer algorithms to solve the reconstruction problem. These systems work well for small test cases and for puzzles with distinctive features, but fail for larger reconstructions of real wall paintings with eroded and missing fragments due to the complexity of the reconstruction search space. We address the search problem with an unsupervised genetic algorithm: we evolve a pool of partial reconstructions that grow through recombination and selection over the course of generations. We introduce a novel algorithm for combining partial reconstructions that is robust to noise and outliers, and we provide a new selection procedure that balances fitness and diversity in the population. In experiments with a benchmark dataset, our algorithm is able to achieve larger and more accurate global reconstructions than previous automatic algorithms.""";Sizikova et Funkhouser - 2018 - Wall Painting Reconstruction Using a Genetic Algor.txt
HHZB5LA7;conferencePaper;2018;Sanders, Donald H.;Neural Networks, AI, Phone-based VR, Machine Learning, Computer Vision and the CUNAT Automated Translation App - not your father's archaeological toolkit;2018 3rd Digital Heritage International Congress (digitalheritage) Held Jointly with 2018 24th International Conference on Virtual Systems & Multimedia (vsmm 2018);Hundreds of thousands of ancient Mesopotamian legal treatises, beer recipes, religious rituals, international treaties, medical records, astronomical observations, and mathematical problems-texts that tell us exactly what happened in the words of the very people whose actions formed our shared cultural history-languish untranslated, because there are too many of them, translation takes too long, and there are too few linguistic experts. And thousands more tablets are uncovered every year. This paper describes our CUNAT (the CUNeiform Automated Translator) app and how it sets out to use unconventional (for archaeology) approaches to solving the translation problem. CUNAT will allow anyone to create virtual reality models of complex inscribed artifacts and automatically extract meaning from them more effectively and quickly than existing tools. The app uses photogrammetry, computer vision, AI, and neural networks to complete the tasks.;Sanders_DigitalHeritage_2018_Not-Your-Fathers-Archaeological-Toolkit.txt
DI8GD4RP;conferencePaper;2018;"Ramazzotti, Marco; Buscema, Paolo Massimo; Massini, Giulia; Della Torre, Francesca";Encoding and Simulating the Past. A Machine Learning Approach to the Archaeological Information;2018 Ieee International Conference on Metrology for Archaeology and Cultural Heritage (metroarchaeo 2018);The encoding of the spatial-temporal archeological, historical and anthropological records can be considered an ideal-typical representation of the human reasoning and thus also an artificial membrane interposed between the researcher and the past. These membranes are here considered artificial networks and can undergo interrogation processes through the most advanced analytical tools for learning and modeling complex configurations. The aim of this paper is to synthesize recent advances in Artificial Intelligence and Computer Science and - at the same time - to support the connectionists and symbolic computational paradigms as a new epistemic frontier in the automatic annotation of tangible and intangible heritage as well in the contemporary theories and methods of the archeological thought.;RAMAZZOTTI_2018.txt
NMD2WZGT;journalArticle;2018;"Guyot, Alexandre; Hubert-Moy, Laurence; Lorho, Thierry";Detecting Neolithic Burial Mounds from LiDAR-Derived Elevation Data Using a Multi-Scale Approach and Machine Learning Techniques;Remote Sensing;Airborne LiDAR technology is widely used in archaeology and over the past decade has emerged as an accurate tool to describe anthropomorphic landforms. Archaeological features are traditionally emphasised on a LiDAR-derived Digital Terrain Model (DTM) using multiple Visualisation Techniques (VTs), and occasionally aided by automated feature detection or classification techniques. Such an approach offers limited results when applied to heterogeneous structures (different sizes, morphologies), which is often the case for archaeological remains that have been altered throughout the ages. This study proposes to overcome these limitations by developing a multi-scale analysis of topographic position combined with supervised machine learning algorithms (Random Forest). Rather than highlighting individual topographic anomalies, the multi-scalar approach allows archaeological features to be examined not only as individual objects, but within their broader spatial context. This innovative and straightforward method provides two levels of results: a composite image of topographic surface structure and a probability map of the presence of archaeological structures. The method was developed to detect and characterise megalithic funeral structures in the region of Carnac, the Bay of Quiberon, and the Gulf of Morbihan (France), which is currently considered for inclusion on the UNESCO World Heritage List. As a result, known archaeological sites have successfully been geo-referenced with a greater accuracy than before (even when located under dense vegetation) and a ground-check confirmed the identification of a previously unknown Neolithic burial mound in the commune of Carnac.;Guyot et al. - 2018 - Detecting Neolithic Burial Mounds from LiDAR-Deriv.txt
JEYVP59G;journalArticle;2018;"Klassen, Sarah; Weed, Jonathan; Evans, Damian";Semi-supervised machine learning approaches for predicting the chronology of archaeological sites: A case study of temples from medieval Angkor, Cambodia;Plos One;"Archaeologists often need to date and group artifact types to discern typologies, chronologies, and classifications. For over a century, statisticians have been using classification and clustering techniques to infer patterns in data that can be defined by algorithms. In the case of archaeology, linear regression algorithms are often used to chronologically date features and sites, and pattern recognition is used to develop typologies and classifications. However, archaeological data is often expensive to collect, and analyses are often limited by poor sample sizes and datasets. Here we show that recent advances in computation allow archaeologists to use machine learning based on much of the same statistical theory to address more complex problems using increased computing power and larger and incomplete datasets. This paper approaches the problem of predicting the chronology of archaeological sites through a case study of medieval temples in Angkor, Cambodia. For this study, we have a large dataset of temples with known architectural elements and artifacts; however, less than ten percent of the sample of temples have known dates, and much of the attribute data is incomplete. Our results suggest that the algorithms can predict dates for temples from 821-1150 CE with a 49-66-year average absolute error. We find that this method surpasses traditional supervised and unsupervised statistical approaches for under-specified portions of the dataset and is a promising new method for anthropological inquiry.";Klassen et al. - 2018 - Semi-supervised machine learning approaches for pr.txt
FWU6HDMH;bookSection;2019;"Drap, Pierre; Papini, Odile; Merad, Djamal; Pasquet, Jerome; Royer, Jean-Philip; Nawaf, Mohamad Motasem; Saccone, Mauro; Ben Ellefi, Mohamed; Chemisky, Bertrand; Seinturier, Julien; Sourisseau, Jean-Christophe; Gambin, Timmy; Castro, Filipe";Deepwater Archaeological Survey: An Interdisciplinary and Complex Process;3d Recording and Interpretation for Maritime Archaeology;This chapter introduces several state of the art techniques that could help to make deep underwater archaeological photogrammetric surveys easier, faster, more accurate, and to provide more visually appealing representations in 2D and 3D for both experts and public. We detail how the 3D captured data is analysed and then represented using ontologies, and how this facilitates interdisciplinary interpretation and cooperation. Towards more automation, we present a new method that adopts a deep learning approach for the detection and the recognition of objects of interest, amphorae for example. In order to provide more readable, direct and clearer illustrations, we describe several techniques that generate different styles of sketches out of orthophotos developed using neural networks. In the same direction, we present the Non-Photorealistic Rendering (NPR) technique, which converts a 3D model into a more readable 2D representation that is more useful to communicate and simplifies the identification of objects of interest. Regarding public dissemination, we demonstrate how recent advances in virtual reality to provide an accurate, high resolution, amusing and appropriate visualization tool that offers the public the possibility to 'visit' an unreachable archaeological site. Finally, we conclude by introducing the plenoptic approach, a new promising technology that can change the future of the photogrammetry by making it easier and less time consuming and that allows a user to create a 3D model using only one camera shot. Here, we introduce the concepts, the developing process, and some results, which we obtained with underwater imaging.;Drap et al. - 2019 - Deepwater Archaeological Survey An Interdisciplin.txt
IKFZK5JT;journalArticle;2019;Davis, Dylan S.;Object-based image analysis: a review of developments and future directions of automated feature detection in landscape archaeology;Archaeological Prospection;Object-based image analysis (OBIA) is a method of assessing remote sensing data that uses morphometric and spectral parameters simultaneously to identify features in remote sensing imagery. Over the past 10-15 years, OBIA methods have been introduced to detect archaeological features. Improvements in accuracy have been attained by using a greater number of morphometric variables and multiple scales of analysis. This article highlights the developments that have occurred in the application of OBIA within archaeology and argues that OBIA is both a useful and necessary tool for archaeological research. Additionally, I discuss future research paths using this method. Some of the suggestions put forth here include: pushing for multifaceted research designs utilizing OBIA and manual interpretation, using OBIA methods for directly studying landscape settlement patterns, and increasing data sharing of methods between researchers.;arp.1730.txt
GKVITELT;journalArticle;2019;"Stott, David; Kristiansen, Soren Munch; Sindbaek, Soren Michael";Searching for Viking Age Fortresses with Automatic Landscape Classification and Feature Detection;Remote Sensing;Across the world, cultural heritage is eradicated at an unprecedented rate by development, agriculture, and natural erosion. Remote sensing using airborne and satellite sensors is an essential tool for rapidly investigating human traces over large surfaces of our planet, but even large monumental structures may be visible as only faint indications on the surface. In this paper, we demonstrate the utility of a machine learning approach using airborne laser scanning data to address a needle-in-a-haystack problem, which involves the search for remnants of Viking ring fortresses throughout Denmark. First ring detection was applied using the Hough circle transformations and template matching, which detected 202,048 circular features in Denmark. This was reduced to 199 candidate sites by using their geometric properties and the application of machine learning techniques to classify the cultural and topographic context of the features. Two of these near perfectly circular features are convincing candidates for Viking Age fortresses, and two are candidates for either glacial landscape features or simple meteor craters. Ground-truthing revealed the latter sites as ice age features, while the cultural heritage sites BorgO and Tr ae lbanke urge renewed archaeological investigation in the light of our findings. The fact that machine learning identifies compelling new candidate sites for ring fortresses demonstrates the power of the approach. Our automatic approach is applicable worldwide where digital terrain models are available to search for cultural heritage sites, geomorphological features, and meteor impact craters.;Stott et al. - 2019 - Searching for Viking Age Fortresses with Automatic.txt
ZYLSA4NP;journalArticle;2019;"Pargeter, Justin; Khreisheh, Nada; Stout, Dietrich";Understanding stone tool-making skill acquisition: Experimental methods and evolutionary implications;Journal of Human Evolution;Despite its theoretical importance, the process of stone tool-making skill acquisition remains understudied and poorly understood. The challenges and costs of skill learning constitute an oft-neglected factor in the evaluation of alternative adaptive strategies and a potential source of bias in cultural transmission. Similarly, theory and data indicate that the most salient neural and cognitive demands of stone tool-making should occur during learning rather than expert performance. Unfortunately, the behavioral complexity and extensive learning requirements that make stone knapping skill acquisition an interesting object of study are the very features that make it so challenging to investigate experimentally. Here we present results from a multidisciplinary study of Late Acheulean handaxe-making skill acquisition involving twenty-six naive participants and up to 90 hours training over several months, accompanied by a battery of psychometric, behavioral, and neuroimaging assessments. In this initial report, we derive a robust quantitative skill metric for the experimental handaxes using machine learning algorithms, reconstruct a group-level learning curve, and explore sources of individual variation in learning outcomes. Results identify particular cognitive targets of selection on the efficiency or reliability of tool-making skill acquisition, quantify learning costs, highlight the likely importance of social support, motivation, persistence, and self-control in knapping skill acquisition, and illustrate methods for reliably reconstructing ancient learning processes from archaeological evidence. (C) 2019 Elsevier Ltd. All rights reserved.;Pargeter_2019.txt
GM5WBJ3T;journalArticle;2019;"Benner, Jordan; Knudby, Anders; Nielsen, Julie; Krawchuk, Meg; Lertzman, Ken";Combining data from field surveys and archaeological records to predict the distribution of culturally important trees;Diversity and Distributions;Aim Indigenous communities involved in conservation planning require spatial datasets depicting the distribution of culturally important species. However, accessing datasets on the location of these species can be challenging, particularly when the current distribution no longer reflects areas with the full range of suitable growing conditions because of past logging. We test whether using occurrence data from community-based field surveys and archaeological records in species distribution models can help predict the distribution of monumental western redcedar trees (Thuja plicata)-large, high-quality trees suitable for cultural purposes such as carving dug-out canoes, totem poles and traditional houses. This species is critically important to indigenous people of the Pacific Northwest of North America, but trees suitable for traditional carving and building are diminishing in abundance due to logging. Location Our analysis covers the spatial extent of the traditional territory of the Heiltsuk First Nation, which encompasses a portion of the Great Bear Rainforest in British Columbia, Canada. Methods We built and compared species distribution models using the machine learning program, Maxent, based on occurrence data from field surveys and archaeological records of culturally modified trees. Results Our findings highlight similarities and differences between the predictions from these species distribution models. When validating these models against occurrences from an independent dataset, the archaeological record model performs better than the field survey model. These findings may arise because the independent dataset was collected on an unlogged island-an environment that aligns more closely with the historic forest conditions revealed by the archaeological records than the current distribution revealed by the field surveys. Main conclusions We demonstrate and discuss the utility of using archaeological data in species distribution modelling and conservation planning when the target species is associated with shifting environmental baselines, data limitations and an important cultural resource.;ddi.12947.txt
4T8WIFKG;journalArticle;2019;"Altaweel, Mark; Squitieri, Andrea";Finding a Relatively Flat Archaeological Site with Minimal Ceramics: A Case Study from Iraqi Kurdistan;Journal of Field Archaeology;We present a new technique to detect flat archaeological sites with minimal ceramics using an unmanned aerial vehicle that maps surface stone concentrations. Methods deployed include point pattern analysis of stone concentrations and a machine-learning technique using unsupervised classification of visible stone signature qualities, which are used in simple linear regressions to compare with geophysical and ceramic surface survey results of a site in Iraqi Kurdistan. There is a stronger fit (r(2 )= 0.77) between surface stone concentrations and architecture identified by geophysical measurement, while surveyed ceramics show a weaker fit to defined architecture (r(2 )= 0.31). Surface stone concentrations are potentially a better proxy than ceramics for determining the presence of past settlement in regions where stone was commonly used, sites are relatively flat, and ceramics are found in low concentrations. The methods advanced here can be scaled to wider areas, particularly in mountainous regions, where surface stone features are present.;00934690.2019.1662269.txt
