Key;Item.Type;Publication.Year;Author;Title;Publication.Title;Abstract.Note;File.Attachments
PDKSCRIJ;journalArticle;2019;"Vandati, Ali R.; Weissmann, John David; Timmermann, Axel; de Leon, Marcia S. Ponce; Zollikofer, Christoph P. E.";Drivers of Late Pleistocene human survival and dispersal: an agent-based modeling and machine learning approach;Quaternary Science Reviews;Understanding Late Pleistocene human dispersals from Africa requires understanding a multifaceted problem with factors varying in space and time, such as climate, ecology, human behavior, and population dynamics. To understand how these factors interact to affect human survival and dispersal, we have developed a realistic agent-based model that includes geographic features, climate change, and time-varying vegetation and food resources. To enhance computational efficiency, we further apply machine learning algorithms. Our approach is new in that it is designed to systematically evaluate a large-scale agent-based model, and identify its key parameters and sensitivities. Results show that parameter interactions are the major source in generating variability in human dispersal and survival/extinction scenarios. In realistic scenarios with geographical features and time-evolving climatic conditions, random fluctuations become a major source of variability in arrival times and success. Furthermore, parameter settings as different as 92% of maximum possible difference, and occupying more than 30% of parameter space can result in similar dispersal scenarios. This suggests that historical contingency (similar causes - different effects) and equifinality (different causes - similar effects) are primary constituents of human dispersal scenarios. While paleoanthropology, archaeology and paleogenetics now provide insights into patterns of human dispersals at an unprecedented level of detail, elucidating the causes underlying these patterns remains a major challenge. (C) 2019 Elsevier Ltd. All rights reserved.;Vandati_2019.txt
U96FK6VW;journalArticle;2019;"Orengo, H. A.; Garcia-Molsosa, A.";A brave new world for archaeological survey: Automated machine learning-based potsherd detection using high-resolution drone imagery;Journal of Archaeological Science;Archaeological pedestrian survey is one of the most popular techniques available for primary detection of archaeological sites and description of past landscape use. As such it is an essential tool not just for the understanding of past human distribution, economy, demography and so on but also for cultural heritage management and protection. The most common type of pedestrian surface survey consists of fieldwalking relatively large tracts of land, recording the dispersion of items of material culture, predominantly pottery fragments, by teams of archaeologists and students. This paper presents the first proof of concept for the automated recording of material culture dispersion across large areas using high resolution drone imagery, photogrammetry and a combination of machine learning and geospatial analysis that can be run using the Google Earth Engine geospatial cloud computing platform. The results show the potential of this technique, under appropriate field circumstances, to produce accurate distribution maps of individual potsherds opening a new horizon for the application of archaeological survey. The paper also discusses current limitations and future developments of this method.;Orengo et Garcia-Molsosa - 2019 - A brave new world for archaeological survey Autom.txt
SZC9LX36;journalArticle;2020;Ramazzotti, Marco;Modeling the past. Logics, semantics and neural computing in archaeology;Archeologia E Calcolatori;The study of complex archaeological systems through the new Artificial Intelligence and Natural and Neural Computing is a research project which evaluates the historical meaning of the relationships between records of the past as an essentially human construction. It repeats a strong position of Analytical Archaeology, but updates it on the basis of the progress which neurosciences and physics have made in simulating the principles which regulate memory, orientation, classification and mapping of reality. Modelling and simulating the contexts of the past in integrated, parallel, distributed processing through machine learning methods, must make use of a precise encoding of the documents. It takes on an important role in empirical research only when the results produced become the hyper-surface of a network membrane to continue, update, refine or open the analysis itself. After some 30 years of such theoretical, analytical and experimental research, logics, semantics and applications of neural computing maintain their distinct value as a new theoretical approach for the study of dynamic and systemic cultural complexity. They provide a new analytical paradigm for computational modelling in archaeology and an advanced computational method for pattern recognition in archaeometry.;RAMAZZOTTI_2020.txt
FPL3LL2G;journalArticle;2020;"Hansen, Jered; Nebel, Mark";Prioritizing Archaeological Inventory and Protection with Predictive Probability Models at Glen Canyon National Recreation Area, USA;Kiva-Journal of Southwestern Anthropology and History;To prioritize archaeological site inventory and protection at Glen Canyon National Recreation Area (Glen Canyon NRA), predictive probability models were developed using the Random Forests machine learning method. Glen Canyon NRA consists of approximately 5,000 km 2 in Arizona and Utah containing evidence of multiple prehistoric cultures spanning at least 10000 years. Large portions of Glen Canyon NRA have never been inventoried for archaeological resources. Archaeological sites are potentially subject to irreparable damage along roads and receding Lake Powell shorelines accessible to off-road vehicles and boats. The diverse cultural history, highly variable physiographic environments, archaeological site data inconsistencies, and limited available model variable data provided challenges. Model results improved by classifying sites, based on their inferred usage, and distinguishing distinct physiographic regions within the larger NRA landscape. Model results are being used to target ongoing field surveys. Initial validation is positive, with new sites discovered in areas of predicted high probability.;Hanse_Nebel_2020.txt
4RAJMD9X;journalArticle;2020;Casana, Jesse;Global-Scale Archaeological Prospection using CORONA Satellite Imagery: Automated, Crowd-Sourced, and Expert-led Approaches;Journal of Field Archaeology;"Declassified CORONA satellite imagery, collected from 1960-1972 as part of the world's first intelligence satellite program, provides nearly global, high-resolution, stereo imagery that predates many of the land-use changes seen in recent decades, and thus has proven to be an immensely valuable resource for archaeological research. While challenges involved in spatially correcting these unusual panoramic film images has long served as a stumbling block to researchers, an online tool called \Sunspot\"" now offers a straightforward process for efficient and accurate orthorectification of CORONA, helping to unlock the potential of this historical imagery for global-scale archaeological prospection. With these new opportunities come significant new challenges in how best to search through large imagery datasets like that offered by CORONA. In contrast to currently popular trends in archaeological remote sensing that seek to employ either automated, machine learning-based approaches, or alternatively, crowd-sourced approaches to assist in the identification of ancient sites and features, this paper argues for systematic, intensive, and expert-led \""brute force\"" methods. Results from a project that has sought to map all sites and related features across a large study in the northern Fertile Crescent illustrate how an expert-led analysis may be the best means of generating nuanced, contextual understandings of complex archaeological landscapes.""";00934690.2020.1713285.txt
JBZY5PFP;journalArticle;2020;"Davis, Dylan S.; Douglass, Kristina";Aerial and Spaceborne Remote Sensing in African Archaeology: A Review of Current Research and Potential Future Avenues;African Archaeological Review;Africa represents a vast region where remote sensing technologies have been largely uneven in their archaeological applications. With impending climate-related risks such as increased coastal erosion and rising sea levels, coupled with rapid urban development, gaps in our knowledge of the human history of this continent are in jeopardy of becoming permanent. Spaceborne and aerial remote sensing instruments are powerful tools for producing relatively complete records of archaeological settlement patterns and human behavior at landscape scales. These sensors allow for massive amounts of information to be recorded and analyzed in short spans of time and offer an effective means to increase survey areas and the discovery of new cultural deposits. In this paper, we review various case studies throughout Africa dealing with aerial and satellite remote sensing applications to landscape archaeology in order to highlight recent developments and future research avenues. Specifically, we argue that (semi)automated remote sensing methods stemming from machine learning developments will prove vital to expanding our knowledge base of Africa's archaeological record. This is especially important for coastal and island regions of the continent where climate change threatens the survival of much of the archaeological record.;s10437-020-09373-y.txt
ZP24JG7F;journalArticle;2020;"Uddin, Zahoor; Altaf, Muhammad; Bilal, Muhammad; Nkenyereye, Lewis; Bashir, Ali Kashif";Amateur Drones Detection: A machine learning approach utilizing the acoustic signals in the presence of strong interference;Computer Communications;Owing to small size, sensing capabilities and autonomous nature, the Unmanned Air Vehicles (UAVs) have enormous applications in various areas e.g., remote sensing, navigation, archaeology, journalism, environmental science, and agriculture. However, the un-monitored deployment of UAVs called the amateur drones (AmDr) can lead to serious security threats and risk to human life and infrastructure. Therefore, timely detection of the AmDr is essential for the protection and security of sensitive organizations, human life and other vital infrastructure. AmDrs can be detected using different techniques based on sound, video, thermal, and radio frequencies. However, the performance of these techniques is limited in sever atmospheric conditions. In this paper, we propose an efficient un-supervise machine learning approach of independent component analysis (ICA) to detect various acoustic signals i.e., sounds of bird, airplanes, thunderstorm, rain, wind and the UAVs in practical scenario. After unmixing the signals, the features like Mel Frequency Cepstral Coefficients (MFCC), the power spectral density (PSD) and the Root Mean Square Value (RMS) of the PSD are extracted by using ICA. The PSD and the RMS of PSD signals are extracted by first passing the signals from octave band filter banks. Based on the above features the signals are classified using Support Vector Machines (SVM)and K Nearest Neighbour (KNN)to detect the presence or absence of AmDr. Unique feature of the proposed technique is the detection of a single or multiple AmDrs at a time in the presence of multiple acoustic interfering signals. The proposed technique is verified through extensive simulations and it is observed that the RMS values of PSD with KNN performs better than the MFCC with KNN and SVM.;Uddin et al. - 2020 - Amateur Drones Detection A machine learning appro.txt
HWTJQ2S9;journalArticle;2020;"Monna, Fabrice; Magail, Jerome; Rolland, Tanguy; Navarro, Nicolas; Wilczek, Josef; Gantulga, Jamiyan-Ombo; Esin, Yury; Granjon, Ludovic; Allard, Anne-Caroline; Chateau-Smith, Carmela";Machine learning for rapid mapping of archaeological structures made of dry stones - Example of burial monuments from the Khirgisuur culture, Mongolia -;Journal of Cultural Heritage;The present study proposes a workflow to extract from orthomosaics the enormous amount of dry stones used by past societies to construct funeral complexes in the Mongolian steppes. Several different machine learning algorithms for binary pixel classification (i.e. stone vs non-stone) were evaluated. Input features were extracted from high-resolution orthomosaics and digital elevation models (both derived from aerial imaging). Comparative analysis used two colour spaces (RGB and HSV), texture features (contrast, homogeneity and entropy raster maps), and the topographic position index, combined with nine supervised learning algorithms (nearest centroid, naive Bayes, k-nearest neighbours, logistic regression, linear and quadratic discriminant analyses, support vector machine, random forest, and artificial neural network). When features are processed together, excellent output maps, very close to or outperforming current standards in archaeology, are observed for almost all classifiers. The size of the training set can be drastically reduced (to ca. 300 samples) by majority voting, while maintaining performance at the highest level (about 99.5% for all performance scores). Note, however, that if the training set is inadequate or not fully representative, the classification results are poor. That said, the methods applied and tested here are extremely rapid. Extensive mapping, which would have been difficult with traditional, manual, or semiautomatic delineation of stones using a vector graphics editor, now becomes possible. This workflow generally surpasses pedestrian surveys using differential GPS or a total station. (C) 2020 Elsevier Masson SAS. All rights reserved.;Monna et al. - 2020 - Machine learning for rapid mapping of archaeologic.txt
KC4B843W;journalArticle;2020;"Serna, Alejandro; Prates, Luciano; Mange, Emiliano; Salazar-Garcia, Domingo C.; Bataille, Clement P.";Implications for paleomobility studies of the effects of quaternary volcanism on bioavailable strontium: A test case in North Patagonia (Argentina);Journal of Archaeological Science;Strontium isotopes (Sr-87/Sr-86) are used as geochemical tracers for paleomobility studies because they display predictable and stable patterns in ecosystems primarily controlled by the underlying geological regimes. While bedrock geology is stable over thousands of years, geomorphological processes can influence the Sr-87/Sr-86 in ecosystems over archeologically relevant timescales. Among these geomorphological processes, the deposition and reworking of volcanic sediments over Quaternary timescales are little studied but could be an important control of Sr-87/Sr-86 variations in many archeological regions. North Patagonia is a key archeological region to address animal and human movements, and an ideal location to test the influence of Quaternary volcanism on Sr-87/Sr-86 variation as it is located downwind of major volcanic centers. In this study, we aim to assess the main environmental and geological controls of bioavailable Sr-87/Sr-86 and to build a high-resolution isoscape using a machine learning regression framework for forthcoming paleomobility studies. We sampled several locations and analyzed different types of samples (N = 94). The ratios show a limited range of variation, which is not related to the bedrock geology. Rather, bioavailable Sr-87/Sr-86 variations display a progressive increase going eastward (away from the Andes), following dust aerosol deposition and elevation variations (R-2 = 0.71, RMSE = 0.00041). We argue that this trend relates to the deposition and reworking of unradiogenic volcanic sediments by aeolian, fluvial and glacial erosion during the Quaternary. As most of this sediment reworking occurred during glacial periods, the current bioavailable Sr-87/Sr-86 variations across the study area likely represent a long-term average that varied little during the Holocene. Consequently, our isoscape provides a solid base for Holocene paleomobility studies in North Patagonia and underlines the importance of Quaternary volcanism processes for interpreting Sr-87/Sr-86 data in paleomobility studies in volcanic regions.;Serna et al. - 2020 - Implications for paleomobility studies of the effe.txt
GFSLM36K;journalArticle;2020;"Stewart, Christopher; Labreche, Georges; Gonzalez, Daniel Lombrana";A Pilot Study on Remote Sensing and Citizen Science for Archaeological Prospection;Remote Sensing;Cost-effective techniques for systematic archaeological prospection are essential to improve the efficiency of preventive archaeology and the preservation of cultural heritage. Web Mapping Services, such as Microsoft Bing Maps, provide imagery covering extensive areas at high resolution. These can, in some cases, reveal cropmarks of buried historical structures. Given that archaeological prospection is not generally the priority of most common Web Mapping Services, the conditions under which images are acquired are not always suitable for the appearance of cropmarks. Therefore, their detection is typically serendipitous. This pilot project attempts to assess the potential to use the Microsoft Bing Maps Bird's Eye service within a crowdsourcing platform to systematically search for archaeological cropmarks in the surroundings of the city of Rome in Italy. On this platform, which is hosted by the company Scifabric (Southampton, UK) and based on PyBossa, an Open Source framework for crowdsourcing, members of the public are invited to interpret oblique air photo tiles of Bing Maps Bird's Eye. While the project is still on-going, at least one seamless coverage of tiles in the area of interest has been interpreted. For each tile, the Bing Maps Bird's Eye service provides oblique air photo coverage in up to four possible orientations. As of 5 July 2020, 18,765 of the total 67,014 tasks have been completed. Amongst these completed tasks, positive detections of cropmarks were recorded once for 1447 tasks, twice for 57 tasks, and three or more times for 10 tasks. While many of these detections may be erroneous, some correspond with archaeological cropmarks of buried remains of buildings, roads, aqueducts, and urban areas from the Roman period, as verified by comparison with archaeological survey data. This leads to the conclusion that the Bing Maps Bird's Eye service contains a wealth of information useful for archaeological prospection, and that to a certain extent citizen researchers could help to mine this information. However, a more thorough analysis would need to be carried out on possible false negatives and biases related to the varying ease of interpretation of residues of different archaeological structures from multiple historical periods. This activity forms the first part of a research project on the systematic prospection of archaeological cropmarks. The ultimate aim is to reach a critical mass of training data through crowdsourcing which can be augmented and used as input to train a machine learning algorithm for automatic detection on a larger scale.;Stewart et al. - 2020 - A Pilot Study on Remote Sensing and Citizen Scienc.txt
5QJXP9WB;journalArticle;2020;"Yaworsky, Peter M.; Vernon, Kenneth B.; Spangler, Jerry D.; Brewer, Simon C.; Codding, Brian F.";Advancing predictive modeling in archaeology: An evaluation of regression and machine learning methods on the Grand Staircase-Escalante National Monument;Plos One;Predictive models are central to both archaeological research and cultural resource management. Yet, archaeological applications of predictive models are often insufficient due to small training data sets, inadequate statistical techniques, and a lack of theoretical insight to explain the responses of past land use to predictor variables. Here we address these critiques and evaluate the predictive power of four statistical approaches widely used in ecological modeling-generalized linear models, generalized additive models, maximum entropy, and random forests-to predict the locations of Formative Period (2100-650 BP) archaeological sites in the Grand Staircase-Escalante National Monument. We assess each modeling approach using a threshold-independent measure, the area under the curve (AUC), and threshold-dependent measures, like the true skill statistic. We find that the majority of the modeling approaches struggle with archaeological datasets due to the frequent lack of true-absence locations, which violates model assumptions of generalized linear models, generalized additive models, and random forests, as well as measures of their predictive power (AUC). Maximum entropy is the only method tested here which is capable of utilizing pseudo-absence points (inferred absence data based on known presence data) and controlling for a non-representative sampling of the landscape, thus making maximum entropy the best modeling approach for common archaeological data when the goal is prediction. Regression-based approaches may be more applicable when prediction is not the goal, given their grounding in well-established statistical theory. Random forests, while the most powerful, is not applicable to archaeological data except in the rare case where true-absence data exist. Our results have significant implications for the application of predictive models by archaeologists for research and conservation purposes and highlight the importance of understanding model assumptions.;Yaworsky et al. - 2020 - Advancing predictive modeling in archaeology An e.txt
J83ASQT4;journalArticle;2020;"Bundzel, Marek; Jascur, Miroslav; Kovac, Milan; Lieskovsky, Tibor; Sincak, Peter; Tkacik, Tomas";Semantic Segmentation of Airborne LiDAR Data in Maya Archaeology;Remote Sensing;Airborne LiDAR produced large amounts of data for archaeological research over the past decade. Labeling this type of archaeological data is a tedious process. We used a data set from Pacunam LiDAR Initiative survey of lowland Maya region in Guatemala. The data set contains ancient Maya structures that were manually labeled, and ground verified to a large extent. We have built and compared two deep learning-based models, U-Net and Mask R-CNN, for semantic segmentation. The segmentation models were used in two tasks: identification of areas of ancient construction activity, and identification of the remnants of ancient Maya buildings. The U-Net based model performed better in both tasks and was capable of correctly identifying 60-66% of all objects, and 74-81% of medium sized objects. The quality of the resulting prediction was evaluated using a variety of quantifiers. Furthermore, we discuss the problems of re-purposing the archaeological style labeling for production of valid machine learning training sets. Ultimately, we outline the value of these models for archaeological research and present the road map to produce a useful decision support system for recognition of ancient objects in LiDAR data.;rs12223685.txt
C9ZGCNB3;journalArticle;2021;"Mesanza-Moraza, Amaia; Garcia-Gomez, Ismael; Azkarate, Agustin";Machine Learning for the Built Heritage Archaeological Study;Acm Journal on Computing and Cultural Heritage;"The presence of artificial intelligence in our lives is increasing and being applied to fields such as medicine, engineering, telecommunications, remote sensing and 3D visualization. Nevertheless, it has never been used for the stratigraphic study of historical buildings. Thus far, archaeologists and architects, the experts in archaeology of architecture, have led this research. The method consisted of visually-and, consequently, subjectively-identifying certain evidence regarding the elevations of such buildings that could be a consequence of the passage of time. In this article, we would like to present the results from one of the research projects pursued by our group, in which we automated the stratigraphic study of some historic buildings using multivariate statistic techniques. To this end, we first measured the building using surveying techniques to create a 3D model, and then, we broke down every stone into qualitative and quantitative variables. To identify the stratigraphic features on the walls, we applied machine learning by conducting different predictive and descriptive analyses. The predictive analyses were used to rule out any blocks of stone with different characteristics, such as rough stones, joint ashlars, and voussoirs of arches; these are irregularities that probably show building processes and whose identification is crucial in ascertaining the structural evolution of the building. In supervised learning, we experimented with decision trees and random forest- and although the results were good in all cases, we ultimately opted to implement the predictive model obtained using the last one. While identifying the evidence on the walls, it was also very important to identify different continuity solutions or interfaces present on them, because although these are elements without materiality, they are of great value in terms of timescale, because they delimit different strata and allow us to deduce the relationship between them.";Mesanza-Moraza et al. - 2021 - Machine Learning for the Built Heritage Archaeolog.txt
